_id,cycle,scheme,__v,state__id,state_name,state_code,district__id,district_name,district_code,block__id,block_name,block_code,village__id,village_name,village_code,results_n_High,results_n_Low,results_n_Medium,results_p_High,results_p_Low,results_p_Medium,results_k_High,results_k_Low,results_k_Medium,results_S_Sufficient,results_S_Deficient,results_OC_High,results_OC_Low,results_OC_Medium,results_pH_Alkaline,results_pH_Acidic,results_pH_Neutral,results_EC_Saline,results_EC_NonSaline,results_Fe_Sufficient,results_Fe_Deficient,results_Zn_Sufficient,results_Zn_Deficient,results_Cu_Sufficient,results_Cu_Deficient,results_B_Sufficient,results_B_Deficient,results_Mn_Sufficient,results_Mn_Deficient
68ed2def2034e237058f6ec9,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585789d86ca9e2c01cc8,Diguvapalle,596510,0,20,1,4,6,11,11,1,9,17,4,0,19,2,0,0,21,0,21,12,9,11,10,20,1,20,1,15,6
68ed2def2034e237058f6eca,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585789d86ca9e2c01ccd,A.Kothakota,596522,0,110,23,62,25,46,79,10,44,96,37,1,109,23,0,1,132,1,132,91,42,94,38,115,7,126,7,109,24
68ed2def2034e237058f6ecb,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01cd2,Settipeta,596517,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
68ed2def2034e237058f6ecc,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01cdc,Katiperi,596520,0,41,6,19,11,17,28,7,12,36,11,0,41,6,0,3,44,0,47,27,20,29,18,38,9,48,0,35,12
68ed2def2034e237058f6ecd,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01ce1,Kogathi,596511,0,9,2,6,0,5,5,0,6,7,4,1,8,2,0,1,10,0,11,6,5,8,3,9,2,11,0,8,3
68ed2def2034e237058f6ece,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585889d86ca9e2c01ce6,Chowdepalle,596515,4,24,9,15,5,17,15,5,17,20,17,4,30,3,0,1,35,1,36,34,3,29,8,35,1,37,0,36,1
68ed2def2034e237058f6ecf,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585989d86ca9e2c01cf0,Gaddamvaripalle,596513,0,20,2,6,6,10,12,3,7,19,3,0,21,1,0,3,19,0,22,14,8,16,6,20,2,20,2,15,7
68ed2def2034e237058f6ed0,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585989d86ca9e2c01cf5,Charala,596524,0,10,2,6,2,4,6,0,6,10,2,0,9,3,0,0,12,0,12,11,1,11,1,12,0,11,1,11,1
68ed2def2034e237058f6ed1,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585989d86ca9e2c01cfa,Laddigam,596521,0,17,3,5,4,11,12,0,8,12,8,0,17,3,0,0,20,1,19,13,7,19,1,14,0,19,1,15,5
68ed2def2034e237058f6ed2,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585a89d86ca9e2c01cff,Durgasamudram,596523,0,11,1,4,4,4,8,1,3,7,5,2,10,0,0,0,12,1,11,5,7,8,4,9,0,12,0,10,2
68ed2def2034e237058f6ed3,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585a89d86ca9e2c01d04,Pandillapalle,596516,0,4,0,1,0,3,3,0,1,1,3,0,4,0,0,0,4,0,4,4,0,3,1,4,0,3,1,4,0
68ed2def2034e237058f6ed4,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585a89d86ca9e2c01d09,29 -A. Chinta -Makulapalle,596519,1,158,55,120,26,68,83,52,79,153,61,8,142,64,4,1,208,0,214,145,69,168,46,209,5,177,36,180,34
68ed2def2034e237058f6ed5,2023-24,660f941a5c8405ca8375c7c6,0,63f957b089d86ca9e2c00e14,ANDHRA PRADESH,28,63f9581e89d86ca9e2c01837,CHITTOOR,503,6492fad0680216eb6c93e3df,CHOWDEPALLE,4756,63f9585a89d86ca9e2c01d0e,Kondamarri,596512,0,15,0,8,4,3,7,1,7,11,4,0,15,0,0,0,15,0,15,11,4,8,7,15,0,15,0,10,5
